商家名稱,優惠名稱,優惠內容,地址,聯絡資訊,圖片網址,特約期限,,,,,測試用照片
佧瑪髮創 KAMA,折價優惠,團體優惠：(兩人以上，需先預約)燙、染、音波兩護兩人同行第二人5折 (特殊色、漂髮屬特殊技術操作需另外計費),台中市北區錦平街21號,04-2202-2076,https://drive.google.com/file/d/1rOjmdsxNekhXYlfe92g91UVbhqw681Mf/view?usp=drive_link,無限期,,,,,
亞通租機車,折價優惠,1.月租機車每月2000元起2.月租凡2500元以上車種均享85折3.日租永久不限車種，租2天送1天,台中市南屯區文心路一段414號,04-2326-7980,無,店家提出終止,,,,,
又見。雞蛋糕,買五送一,憑證享買五送一,台中市北區一中街146號,0982-277-424,無,店家提出終止,,,,,
小牛甕烤餅,優惠套餐,憑證享優惠套餐:一個燒餅+一杯豆漿 40元,台中市西區自治街153號,0908-809-853,https://drive.google.com/file/d/15aYjIiB64_Vgqe3BzFwt2_ATfI1c5BEj/view?usp=drive_link,店家提出終止,,,,,
六發大賣場,打折優惠,"憑學生證九折優惠,清潔用品九五折,菸酒、特價品除外",台中市中區中華路一段43號,04-2224-5566,無,店家提出終止,,,,,
漫步藍咖啡（林森店）,全品項85折,憑學生證消費週一到週五全品項85折(不與其他優惠併用),台中市西區林森路200號,04-2375-7000,https://drive.google.com/file/d/18rf3VAESHfj0F1AfQKzaISEKeDNoJc-U/view?usp=drive_link,店家提出終止,,,,,
壹等涼牛肉麵,折價優惠,"滿50折5元,滿100折10元.......，以此類推",台中市西區市府路19號,04-2220-1592,無,店家提出終止,,,,,
Come n See,9折優惠,憑學生證優惠9折,台中市西區民權路151號,04-2222-0190,https://drive.google.com/file/d/1XucrSCLAdmIMYuqOWDpQR8MRo6bC2q4j/view?usp=sharing,店家提出終止,,,,,
山川咖喱(民生店),滑蛋1份,憑學生證贈滑蛋1份,台中市西區民生路203號,04-2222-2586,https://drive.google.com/file/d/1kMMYuFuWXl_ktBAaeFYzb8zlt4HQuZ9z/view?usp=sharing,店家提出終止,,,,,
RAD Studio ,9折優惠,憑證9折,台中市西屯區文心路三段237號,0979-292-854,https://drive.google.com/file/d/1fWulb6AFmDNZokarkt5-7vIIRIaslwR5/view?usp=drive_link,店家提出終止,,,,,
糧倉 纖健水煮(台中柳川總店),9折優惠,憑學生證，外帶、外送、內用享九折優惠,台中市北區柳川西路四段55號,04-2206-1033,https://drive.google.com/file/d/1XuqYC6LanyvL31i_BSE-DnjzgBnp1YdL/view?usp=sharing,店家提出終止,,,,,
吃光食堂,95折優惠或紅茶1杯,憑證享有以下優惠二擇一:憑證95折/任選套餐送紅茶1杯,台中市西區五廊街12號,0928-680-620,https://drive.google.com/file/d/1QyM_5cAZvSzsre5_v_dVAlv0Ke8w5Z2d/view?usp=sharing,店家提出終止,,,,,
安東玩食,9折優惠,憑學生證餐點享9折優惠。一證一份餐點，餐點不含飲品、甜點，不與店家優惠併用。,台中市中區民族路192號,04-2221-6625,https://drive.google.com/file/d/1UDngT1nZz3KjMaJ1V_lcPkfR8vHIgUGU/view?usp=sharing,店家提出終止,,,,,
LOWCA 勞咖,9折優惠,憑證單點9折(不得與其他優惠併用),台中市西屯區西屯路二段272-18號,0911-487-043,https://drive.google.com/file/d/1DtCHK5T-gXtjptn-MAO4bpOEi0TojHIO/view?usp=sharing,店家提出終止,,,,,
泰富航運,船票特價,憑證來回東港～小琉球船票400元/人,屏東縣東港鎮朝安里朝隆路43號,08-833-5145,https://drive.google.com/file/d/1AAxA4gSZMWETB_lzLpAPUPghqpfxG0WE/view?usp=sharing,無限期,,,,,
Various_acc,折價優惠和首購免運,1. 滿500折60元2. 蝦皮、賣貨便首購免運,網路商店,ig：various__acc_,https://drive.google.com/file/d/1g_f3gUeDmfgFflQDqTYy8SEtG49qfDcL/view?usp=drive_link,店家提出終止,,,,,
浪漫Roman hair salon,折價優惠,憑學生證洗加剪380元、單剪300元,台中市西區民生路157號B1F,0955-548-266,無,店家提出終止,,,,,
YAS 鞋類洗護中心-勤美店,打折優惠,憑證享有以下優惠：第一雙95折、第二雙9折、第三雙以上8折,台中市西區模範街34巷3號1樓,04-2301-7797,https://drive.google.com/file/d/1zKu3tU7c-l5Chtvdh01kez_Ta1B5ltA4/view?usp=drive_link,無限期,,,,,
來點什麼 民權店,消費滿百送飲料,憑學生證享有外帶&內用消費滿100送一杯飲料（外送不適用此優惠）,台中市西區民權路374號,04-2208-3399,https://drive.google.com/file/d/1M0ygwSuBgND6Ue6VZag_b0e-oA3WzdQW/view?usp=drive_link,無限期,,,,,
椛露 HUALU CAFÉ ,折價優惠和免費加飯加麵,1.訂餐椛露韓食堂套餐享15元折扣(套餐含主餐+飲料乙杯+小菜2份)2.學生加飯加麵免費(以上優惠可合併使用),台中市北區三民路三段85號,0987-610-156,無,無限期,,,,,
千和租車-大里店,折價優惠,1.平日不指定車款1000元 2.學生證折扣200元 3.追蹤官方IG、google打卡評論折扣200元 (2、3點合併使用),台中市大里區中興路二段849號,04-2483-6972,無,無限期,,,,,
千和租車-中清店,折價優惠,1.平日不指定車款1000元 2.學生證折扣200元 3.追蹤官方IG、google打卡評論折扣200元 (2、3點合併使用),台中市北區梅亭街450號,0986-269-558,無,無限期,,,,,
千和租車-太平店,折價優惠,1.平日不指定車款1000元 2.學生證折扣200元 3.追蹤官方IG、google打卡評論折扣200元 (2、3點合併使用),台中市太平區大興路185號,04-2393-8810,無,無限期,,,,,
REING CAFÉ,完成指定條件送格朗芙,消費任意兩個拼盤，並且在IG或FB上打卡或分享限動並且標註REING CAFÉ，即可免費獲得一個甜點格朗芙,台中市中區光復路42-3號2樓,04-2225-0010,無,115.05.01,,,,,
茶魂Soul Tea,8折優惠和周末免費加料,1.憑證消費飲品全系列8折 2.憑證周末(六日)，加波霸，桂花釀凍不加價,台中市西區五權路15-1號,04-2223-2227,https://drive.google.com/file/d/1jHvTKbl2OrnLurUAWZCZfX1Z5PILWGJI/view?usp=drive_link,115.04.08,,,,,
春山相館 - 一中店,折價優惠,A. 基礎首選｜招牌證件照 優惠價格：$500 包含內容：1 張精修數位證件照、1張實體輸出證件照（規格可依需求列印）,台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
春山相館 - 一中店,折價優惠,B. 精緻升級｜完顏證件照 優惠價格：$999 包含內容：1張精修數位證件照、1張實體輸出證件照（規格可依需求列印）、30分鐘專業化妝造型服務,台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
春山相館 - 一中店,折價優惠,C. 進階證件｜極致完顏證件照 優惠價格：$1500 包含內容：1張精修數位證件照、1張實體輸出證件照（規格可依需求列印）、60分鐘專業化妝造型服務,台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
春山相館 - 一中店,折價優惠,D. 求職精英包｜證件照 + 肖像照  優惠價格：$2200 包含內容： 1張精修數位肖像照、1張精修數位證件照、2張實體輸出照片（證件照 + 肖像照）、30分鐘專業化妝造型服務,台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
春山相館 - 一中店,折價優惠,E. 形象進階包｜證件照 + 半身寫真  優惠價格：$2800 包含內容：1張精修數位半身形象照、1張精修數位證件照、2張實體輸出照片（證件照 + 半身形象照）、60分鐘專業化妝造型服務,台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
春山相館 - 一中店,折價優惠,加碼活動｜青春有你  凡購買以上A、B、C、D、E 方案，可加購買學士證件照加購 $200，可獲得戴帽/脫帽一尺寸(原價$590),台中市北區精武路320-10號,04-2225-2666,https://drive.google.com/file/d/1M_i8jjoN1bIdM8HofeMtJXqir78m4XfL/view?usp=drive_link,115.03.27,,,,,
